system:index,B11,B12,B2,B3,B4,B8,NDMI,NDVI,class,year,.geo
1_00000000000000000018,0.19269999861717224,0.09025000035762787,0.056299999356269836,0.07069999724626541,0.051100000739097595,0.3034999966621399,0.22329705582241707,0.7117879237811903,1,2024,"{""type"":""Point"",""coordinates"":[107.0392849574291,-6.544314938169828]}"
1_00000000000000000000,0.14824999868869781,0.06334999948740005,0.032999999821186066,0.04904999956488609,0.026599999517202377,0.31439998745918274,0.35912675617670303,0.8439882666679135,1,2024,"{""type"":""Point"",""coordinates"":[107.07794536356249,-6.602720243767863]}"
1_00000000000000000001,0.1352500021457672,0.057750001549720764,0.03739999979734421,0.046300001442432404,0.025499999523162842,0.2410999983549118,0.2812541412736191,0.8087021775984794,1,2024,"{""type"":""Point"",""coordinates"":[106.99185795862465,-6.72416386095846]}"
1_00000000000000000002,0.18854999542236328,0.08320000022649765,0.053050000220537186,0.06830000132322311,0.037950001657009125,0.37540000677108765,0.3313237177444491,0.8163783675663787,1,2024,"{""type"":""Point"",""coordinates"":[106.48524165153844,-6.5347189527028124]}"
1_00000000000000000003,0.13349999487400055,0.05939999967813492,0.02590000070631504,0.039500001817941666,0.02539999969303608,0.21539999544620514,0.23473775535803318,0.7890365431415505,1,2024,"{""type"":""Point"",""coordinates"":[106.49623779473625,-6.707023076509015]}"
1_00000000000000000004,0.1818999946117401,0.08115000277757645,0.04520000144839287,0.05894999951124191,0.0328500010073185,0.3183499872684479,0.2727636133915705,0.8129270950799447,1,2024,"{""type"":""Point"",""coordinates"":[106.53949999315678,-6.4797248594106645]}"
1_00000000000000000005,0.15299999713897705,0.07490000128746033,0.04050000011920929,0.051600001752376556,0.02979999966919422,0.2150000035762787,0.1684782780347733,0.7565359536428412,1,2024,"{""type"":""Point"",""coordinates"":[106.97649635549553,-6.644702680186054]}"
1_00000000000000000006,0.15839999914169312,0.07204999774694443,0.042750000953674316,0.0628499984741211,0.03465000167489052,0.2948000133037567,0.3009708967704003,0.7896494150887423,1,2024,"{""type"":""Point"",""coordinates"":[106.9823600733808,-6.5031886491538975]}"
1_00000000000000000007,0.14249999821186066,0.0632999986410141,0.027899999171495438,0.03819999843835831,0.021800000220537186,0.24310000240802765,0.2608921266453398,0.8354095884921185,1,2024,"{""type"":""Point"",""coordinates"":[106.58715886521601,-6.656430115956617]}"
1_00000000000000000008,0.17794999480247498,0.07540000230073929,0.05555000156164169,0.06620000302791595,0.039650000631809235,0.3462499976158142,0.32106067387929876,0.7945063445874042,1,2024,"{""type"":""Point"",""coordinates"":[106.96550021229774,-6.497324931268615]}"
1_00000000000000000009,0.15489999949932098,0.06480000168085098,0.035599999129772186,0.04699999839067459,0.026399999856948853,0.30169999599456787,0.3215067848094441,0.8390734520527315,1,2024,"{""type"":""Point"",""coordinates"":[106.57909235141032,-6.490725461709515]}"
1_0000000000000000000a,0.1784999966621399,0.07744999974966049,0.0340999998152256,0.04814999923110008,0.029600000008940697,0.3370000123977661,0.3074685023278186,0.8385160992515058,1,2024,"{""type"":""Point"",""coordinates"":[106.89071216942934,-6.7480824790091445]}"
1_0000000000000000000b,0.14474999904632568,0.05784999951720238,0.04324999824166298,0.05144999921321869,0.030750000849366188,0.31310001015663147,0.3676968608199352,0.8211429410201192,1,2024,"{""type"":""Point"",""coordinates"":[106.52849939085793,-6.555979946525643]}"
1_0000000000000000000c,0.16695000231266022,0.07559999823570251,0.03680000081658363,0.050450000911951065,0.03164999932050705,0.2759000062942505,0.24602010130770516,0.7941798163375592,1,2024,"{""type"":""Point"",""coordinates"":[106.46730714710151,-6.398373019791598]}"
1_0000000000000000000d,0.1527000069618225,0.06414999812841415,0.03959999978542328,0.04899999871850014,0.03164999932050705,0.32659998536109924,0.36282074104877937,0.8233077422256646,1,2024,"{""type"":""Point"",""coordinates"":[106.56548317499521,-6.419736572938657]}"
1_0000000000000000000e,0.14104999601840973,0.059950001537799835,0.05009999871253967,0.05350000038743019,0.0361500009894371,0.2946000099182129,0.35246186573481025,0.7814058969175322,1,2024,"{""type"":""Point"",""coordinates"":[106.7417157668295,-6.511750123176513]}"
1_0000000000000000000f,0.1732500046491623,0.0767500028014183,0.0560000017285347,0.07580000162124634,0.04594999924302101,0.3580000102519989,0.34776470667433157,0.7724966052088309,1,2024,"{""type"":""Point"",""coordinates"":[106.62258642308565,-6.48998079183359]}"
1_00000000000000000010,0.22914999723434448,0.1039000004529953,0.04884999990463257,0.07615000009536743,0.03974999859929085,0.4524500072002411,0.32761151483725837,0.838480300158791,1,2024,"{""type"":""Point"",""coordinates"":[106.47172611624546,-6.634656325512642]}"
1_00000000000000000011,0.13854999840259552,0.06265000253915787,0.04340000078082085,0.04924999922513962,0.03319999948143959,0.24549999833106995,0.27847936684827806,0.7617509885753619,1,2024,"{""type"":""Point"",""coordinates"":[106.5284369634432,-6.506889703028256]}"
1_00000000000000000012,0.2777499854564667,0.13054999709129333,0.08025000244379044,0.09939999878406525,0.061500001698732376,0.5114499926567078,0.2961226731898459,0.7853215732450824,1,2024,"{""type"":""Point"",""coordinates"":[106.68421565874533,-6.554035778466341]}"
1_00000000000000000013,0.15629999339580536,0.06449999660253525,0.03799999877810478,0.048700001090765,0.030500000342726707,0.2662999927997589,0.2602934287675283,0.7944743864728832,1,2024,"{""type"":""Point"",""coordinates"":[106.45591414390995,-6.583109117334808]}"
1_00000000000000000014,0.18549999594688416,0.0828000009059906,0.03440000116825104,0.0568000003695488,0.030700000002980232,0.41200000047683716,0.379079507758405,0.8613056247133217,1,2024,"{""type"":""Point"",""coordinates"":[106.58496052839666,-6.708490120755598]}"
1_00000000000000000015,0.16359999775886536,0.0723000019788742,0.0284000001847744,0.0502999983727932,0.02280000038444996,0.32409998774528503,0.32909574483687126,0.8685500076989157,1,2024,"{""type"":""Point"",""coordinates"":[106.76166578494261,-6.696026933311216]}"
1_00000000000000000016,0.17630000412464142,0.08169999718666077,0.046300001442432404,0.053599998354911804,0.033399999141693115,0.31850001215934753,0.2873888507576177,0.8101733556744882,1,2024,"{""type"":""Point"",""coordinates"":[106.62895401938997,-6.45113310345597]}"
1_00000000000000000017,0.14010000228881836,0.05900000035762787,0.03550000116229057,0.04839999973773956,0.0364999994635582,0.249099999666214,0.28006165680849443,0.7443977620814126,1,2024,"{""type"":""Point"",""coordinates"":[107.17886373860408,-6.56991463731766]}"
1_00000000000000000019,0.18045000731945038,0.07880000025033951,0.03765000030398369,0.05855000019073486,0.03525000065565109,0.3103500008583069,0.264669909075897,0.7960069415437926,1,2024,"{""type"":""Point"",""coordinates"":[107.12122093928618,-6.529943255474572]}"
1_0000000000000000001a,0.1555500030517578,0.06355000287294388,0.04280000180006027,0.05810000002384186,0.032999999821186066,0.29464998841285706,0.30897376276834587,0.7985655363575725,1,2024,"{""type"":""Point"",""coordinates"":[106.92501157473244,-6.565517963678964]}"
1_0000000000000000001b,0.1923000067472458,0.08004999905824661,0.05739999935030937,0.07100000232458115,0.04064999893307686,0.39750000834465027,0.3479145411100617,0.8144471151072682,1,2024,"{""type"":""Point"",""coordinates"":[107.00622518221886,-6.533894019007924]}"
1_0000000000000000001c,0.16695000231266022,0.07644999772310257,0.03505000099539757,0.05204999819397926,0.029750000685453415,0.2976999878883362,0.2813945729754921,0.8182928586131292,1,2024,"{""type"":""Point"",""coordinates"":[107.14997322287878,-6.643503182002678]}"
1_0000000000000000001d,0.1615999937057495,0.07190000265836716,0.04600000008940697,0.06300000101327896,0.03759999945759773,0.33719998598098755,0.3520449066287466,0.7993596535837707,1,2024,"{""type"":""Point"",""coordinates"":[106.93578922197864,-6.628047937751433]}"
